Node,Type,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Louvain_Community,Leiden_Community
panic disorder,Disease,11,0.010036496350364963,0.004621973426604413,0.2974219810040706,0,4
anxiety and nervousness,Symptom,47,0.04288321167883211,0.012895201024128155,0.3132323521006002,0,3
shortness of breath,Symptom,101,0.09215328467153285,0.05016479887037775,0.3454144342893161,1,4
depressive or psychotic symptoms,Symptom,76,0.06934306569343066,0.03582666628990929,0.3323226197695573,0,3
chest tightness,Symptom,32,0.029197080291970802,0.002669621194919892,0.30597431602456726,1,4
palpitations,Symptom,29,0.02645985401459854,0.0029428178385098825,0.2999452654625068,1,4
irregular heartbeat,Symptom,28,0.025547445255474453,0.00429497885285415,0.29912663755458513,1,4
breathing fast,Symptom,1,0.0009124087591240876,0.0,0.2292887029288703,0,4
dizziness,Symptom,94,0.08576642335766423,0.05516611328158942,0.3451968503937008,1,4
insomnia,Symptom,34,0.03102189781021898,0.009279155300205013,0.3147616312464101,0,3
depression,Disease,58,0.05291970802919708,0.02268226708818751,0.3402669978267619,0,3
abnormal involuntary movements,Symptom,46,0.041970802919708027,0.016005909051192507,0.32028053769725306,0,3
vocal cord polyp,Disease,5,0.004562043795620438,0.0004129381389993141,0.26238927459899447,2,2
difficulty speaking,Symptom,34,0.03102189781021898,0.01615448380438576,0.31422018348623854,0,3
throat swelling,Symptom,9,0.008211678832116789,0.000808087619923943,0.28408501814411613,8,2
throat feels tight,Symptom,15,0.013686131386861313,0.002830261383578907,0.2829117191533299,2,2
hoarse voice,Symptom,17,0.01551094890510949,0.002375402685135862,0.288117770767613,2,2
sore throat,Symptom,52,0.04744525547445255,0.013408762604090955,0.30760595004209934,2,2
turner syndrome,Disease,2,0.0018248175182481751,0.00020040941132097467,0.2632716790775883,5,3
emotional symptoms,Symptom,35,0.03193430656934306,0.017747816710416746,0.3023448275862069,5,3
cryptorchidism,Disease,3,0.002737226277372263,0.00024290791052228972,0.24618149146451032,5,1
lack of growth,Symptom,22,0.020072992700729927,0.0087164319783837,0.3054626532887402,0,3
symptoms of the scrotum and testes,Symptom,10,0.009124087591240875,0.0013067780172822732,0.272840428180234,5,1
swelling of scrotum,Symptom,12,0.010948905109489052,0.001437139594159178,0.25842961565668476,5,1
poisoning due to ethylene glycol,Disease,4,0.0036496350364963502,7.165479436897675e-05,0.26843007592456525,0,3
abusing alcohol,Symptom,32,0.029197080291970802,0.009953214250519522,0.32273262661955243,0,3
fainting,Symptom,32,0.029197080291970802,0.00576937754484611,0.30786516853932583,1,4
atrophic vaginitis,Disease,8,0.0072992700729927005,0.00042501154673063417,0.2587957497048406,5,1
suprapubic pain,Symptom,30,0.027372262773722626,0.007123173519713273,0.28789072760703965,5,1
vaginal itching,Symptom,26,0.023722627737226276,0.006608438709992285,0.28124198101103415,3,1
painful urination,Symptom,30,0.027372262773722626,0.006478014095047278,0.29880043620501634,5,1
involuntary urination,Symptom,30,0.027372262773722626,0.013187253182266318,0.30159603742432584,5,1
frequent urination,Symptom,26,0.023722627737226276,0.006009361484542139,0.2932833823922933,5,1
vaginal discharge,Symptom,27,0.024635036496350363,0.0037963435666351513,0.2816032887975334,3,1
blood in urine,Symptom,30,0.027372262773722626,0.006482494519396792,0.288042049934297,5,1
pain during intercourse,Symptom,9,0.008211678832116789,0.0014222077572133486,0.24458826154876143,5,1
fracture of the hand,Disease,8,0.0072992700729927005,0.0009234741456974268,0.2549430100023261,7,0
arm pain,Symptom,41,0.03740875912408759,0.0150950695133612,0.3050375730587253,7,0
arm stiffness or tightness,Symptom,17,0.01551094890510949,0.003851925524395072,0.28895333509095705,7,0
hand or finger swelling,Symptom,26,0.023722627737226276,0.008005998290407433,0.29351901446170325,7,0
hand or finger stiffness or tightness,Symptom,19,0.017335766423357664,0.004098005676331576,0.2772577789020997,7,0
wrist stiffness or tightness,Symptom,2,0.0018248175182481751,1.979681408647166e-06,0.2059763202405563,7,0
hand or finger pain,Symptom,35,0.03193430656934306,0.011866845736604317,0.2935976426466649,7,0
wrist pain,Symptom,26,0.023722627737226276,0.004529135559903199,0.292500667200427,7,0
wrist swelling,Symptom,17,0.01551094890510949,0.004761750494124864,0.2633982215813506,7,0
cellulitis or abscess of mouth,Disease,7,0.006386861313868613,0.0015387586474606826,0.2795918367346939,8,2
difficulty in swallowing,Symptom,30,0.027372262773722626,0.009715181495200396,0.3079516718179264,2,2
abnormal appearing skin,Symptom,68,0.06204379562043796,0.038577248283588786,0.3371270378345125,8,6
skin growth,Symptom,43,0.03923357664233577,0.023476480035062426,0.316580011554015,8,6
lip swelling,Symptom,24,0.021897810218978103,0.009300618357003743,0.3051224944320713,8,6
toothache,Symptom,11,0.010036496350364963,0.0006589156101494296,0.25922421948912017,2,2
eye alignment disorder,Disease,9,0.008211678832116789,0.003286399534156221,0.2617625985192262,6,7
eye deviation,Symptom,5,0.004562043795620438,5.198800267658223e-05,0.21490196078431373,6,7
double vision,Symptom,17,0.01551094890510949,0.002715492303466808,0.2762793042601462,6,7
cross-eyed,Symptom,6,0.005474452554744526,0.0005996731556167097,0.24529991047448524,6,7
symptoms of eye,Symptom,42,0.03832116788321168,0.01357165582802901,0.29573664328116567,6,7
pain in eye,Symptom,46,0.041970802919708027,0.017214612094827497,0.3015130674002751,6,7
irregular appearing scalp,Symptom,21,0.01916058394160584,0.003349321055046506,0.29203304023447907,8,6
diminished vision,Symptom,48,0.043795620437956206,0.01964931672845666,0.30284609008013263,6,7
eye moves abnormally,Symptom,3,0.002737226277372263,0.00012258544381213297,0.24350144412352812,6,7
headache after lumbar puncture,Disease,7,0.006386861313868613,0.0016672940715371375,0.3046136742634797,3,5
nausea,Symptom,80,0.072992700729927,0.027719050456992456,0.34016139044072,3,5
neck pain,Symptom,35,0.03193430656934306,0.009716682693428222,0.31368059530623926,7,0
headache,Symptom,116,0.10583941605839416,0.09910123768343232,0.36159683272847243,0,3
vomiting,Symptom,98,0.08941605839416059,0.04507431732456572,0.34793650793650793,3,5
low back pain,Symptom,32,0.029197080291970802,0.005384250355444975,0.29336188436830835,7,0
pyloric stenosis,Disease,3,0.002737226277372263,0.0005038193264637104,0.2803786134561269,2,5
cough,Symptom,100,0.09124087591240876,0.06382726862517822,0.3490445859872611,2,2
salivary gland disorder,Disease,4,0.0036496350364963502,0.0002605860411638612,0.2645426019792421,2,2
swollen lymph nodes,Symptom,10,0.009124087591240875,0.0007750402180651987,0.2799489144316731,2,2
osteochondrosis,Disease,6,0.005474452554744526,0.003069374692868986,0.24679126322900247,7,0
bowlegged or knock-kneed,Symptom,1,0.0009124087591240876,0.0,0.19797687861271676,7,0
ankle pain,Symptom,16,0.014598540145985401,0.0013371188883445997,0.2513185049300619,7,0
elbow pain,Symptom,17,0.01551094890510949,0.0011741322431638305,0.2557759626604434,7,0
knee pain,Symptom,38,0.03467153284671533,0.01417970855789564,0.29863760217983654,7,0
foot or toe pain,Symptom,34,0.03102189781021898,0.011655339040881098,0.29726064551125575,7,0
injury to the knee,Disease,5,0.004562043795620438,0.0005180440718671679,0.26289278004317584,7,0
knee weakness,Symptom,8,0.0072992700729927005,0.00019287790050751525,0.22710319104848736,7,0
foot or toe swelling,Symptom,21,0.01916058394160584,0.004247046346712679,0.2908704883227176,7,0
